"","treatment","groupID","round","contribution","endowment","share","stock","gain","bot_active","disaster","EWE","noComprehension"
"93","Hi000","Hi000_19",3,25.75,35.75,0.714757311486963,49,13.25,0,0,0,0
"94","Hi000","Hi000_19",4,24.25,49,0.495909764949737,61.75,12.75,0,0,0,0
"95","Hi000","Hi000_19",5,31.5,61.75,0.513343427405927,78.25,16.5,0,0,0,0
"96","Hi000","Hi000_19",6,37.25,78.25,0.477188979039892,97,18.75,0,0,0,0
"97","Hi000","Hi000_19",7,45,97,0.460793314414267,120,23,0,0,0,0
"98","Hi000","Hi000_19",8,44,120,0.370536140776774,142,22,0,0,0,0
"99","Hi000","Hi000_19",9,52.5,142,0.364125354816121,168.5,26.5,0,0,0,0
"100","Hi000","Hi000_19",10,49.5,168.5,0.294747058664315,194,25.5,0,0,0,0
"101","Hi000","Hi000_2",1,16.75,20,0.8375,29.25,9.25,0,0,0,0
"102","Hi000","Hi000_2",2,15.5,29.25,0.530390910535516,37.75,8.5,0,0,0,0
"103","Hi000","Hi000_2",3,26.25,37.75,0.692311754659316,51.5,13.75,0,0,0,0
"104","Hi000","Hi000_2",4,24,51.5,0.464718090626081,63.5,12,0,0,0,0
"105","Hi000","Hi000_2",5,29.25,63.5,0.462121212121212,78.25,14.75,0,0,0,0
"106","Hi000","Hi000_2",6,30.75,78.25,0.3948303737859,94.5,16.25,0,0,0,0
"107","Hi000","Hi000_2",7,30,94.5,0.316890187287053,109.5,15,0,0,0,0
"108","Hi000","Hi000_2",8,44,109.5,0.401901689822253,131.5,22,0,0,0,0
"109","Hi000","Hi000_2",9,42.25,131.5,0.321549969445407,153.25,21.75,0,0,0,0
"110","Hi000","Hi000_2",10,37.75,153.25,0.24885360188842,172.5,19.25,0,0,0,0
"111","Hi000","Hi000_20",1,11.5,20,0.575,26.5,6.5,0,0,0,0
"112","Hi000","Hi000_20",2,13.75,26.5,0.513774362818591,33.75,7.25,0,0,0,0
"113","Hi000","Hi000_20",3,18.5,33.75,0.549894957983193,43.25,9.5,0,0,0,0
"114","Hi000","Hi000_20",4,22.25,43.25,0.515192694965334,55,11.75,0,0,0,0
"115","Hi000","Hi000_20",5,21.75,55,0.394656233220233,66.25,11.25,0,0,0,0
"116","Hi000","Hi000_20",6,31,66.25,0.468127673955154,82.25,16,0,0,0,0
"117","Hi000","Hi000_20",7,30.75,82.25,0.376262030526055,98.5,16.25,0,0,0,0
"118","Hi000","Hi000_20",8,37.25,98.5,0.371781538967487,117.25,18.75,0,0,0,0
"119","Hi000","Hi000_20",9,44.5,117.25,0.378324037256162,139.75,22.5,0,0,0,0
"120","Hi000","Hi000_20",10,38.75,139.75,0.277615583765364,160,20.25,0,0,0,0
"121","Hi000","Hi000_21",1,16,20,0.8,28,8,0,0,0,0
"122","Hi000","Hi000_21",2,19.5,28,0.698492519613209,38.5,10.5,0,0,0,0
"123","Hi000","Hi000_21",3,22,38.5,0.569262728543575,49.5,11,0,0,0,0
"124","Hi000","Hi000_21",4,25.25,49.5,0.512652810715121,62.25,12.75,0,0,0,0
"125","Hi000","Hi000_21",5,29.5,62.25,0.472187715665977,77.75,15.5,0,0,0,0
"126","Hi000","Hi000_21",6,32.25,77.75,0.419959211726319,94.5,16.75,0,0,0,0
"127","Hi000","Hi000_21",7,45.75,94.5,0.477496068726546,117.75,23.25,0,0,0,0
